N,P,K,temperature,humidity,ph,rainfall,label,Region,Soil_Type,Growing_Season,Yield_kg_per_hectare,Growth_Days,Irrigation_Method,Pest_Incidents,Fertilizer_Application,Fertilizer_kg_ha,Organic_Matter_Percentage,Crop_Rotation,Seed_Rate_kg_ha,Market_Price_USD_per_kg,Water_Source
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton,Central,Loamy,Monsoon,2606,172,Drip,High,High,228,1.0,Pulses,17,2.82,Rain
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton,Central,Loamy,Monsoon,1606,162,Drip,Medium,Medium,223,2.3,Maize,20,2.28,Well
126,50,19,24.69457084,81.7358876,6.6287228360000015,78.58494391,cotton,Western,Sandy Loam,Monsoon,1643,181,Drip,Medium,Medium,225,1.2,Pulses,16,2.11,Well
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton,Central,Black,Monsoon,1629,201,Flood,Medium,High,140,1.9,Wheat,18,2.06,Canal
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton,Central,Black,Kharif,3253,157,Drip,High,High,237,1.9,Maize,15,2.59,Well
121,47,16,23.60564038,79.29573149,7.7232401510000015,72.49800885,cotton,Central,Black,Monsoon,1863,159,Flood,High,High,249,2.8,Wheat,20,1.86,Canal
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton,Southern,Loamy,Monsoon,2977,201,Flood,High,High,132,1.1,Wheat,18,2.27,Rain
107,45,25,23.0865933,83.55546146,7.2277455160000015,71.84080724,cotton,Western,Loamy,Kharif,2900,206,Flood,Medium,Medium,204,1.3,Pulses,18,1.95,Canal
122,59,18,23.5000992,83.63488952,6.219469084,79.81328183,cotton,Western,Loamy,Kharif,3236,199,Drip,Medium,High,201,2.9,Maize,18,2.05,Well
140,38,15,24.1472953,75.88298598,6.021439523,69.91563467,cotton,Central,Black,Kharif,3033,203,Drip,High,Medium,150,1.6,Maize,17,2.81,Canal
102,49,21,24.69315538,84.84422454,6.253343655,89.799462,cotton,Western,Sandy Loam,Monsoon,2623,161,Drip,Medium,High,224,2.4,Maize,15,2.1,Well
111,40,25,24.48469200000001,84.44932014,6.187455798999999,90.94342484,cotton,Southern,Loamy,Kharif,3056,176,Drip,High,High,151,1.6,Maize,18,2.7,Rain
131,35,18,24.49112609,82.24415809,7.0576933660000005,64.02949379,cotton,Southern,Loamy,Monsoon,1735,167,Drip,Medium,Medium,201,2.8,Wheat,18,2.44,Canal
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton,Central,Black,Monsoon,2342,205,Flood,Medium,High,151,2.4,Wheat,16,1.79,Canal
100,46,18,24.18586246,76.04203958,6.4316895060000006,69.08056728,cotton,Central,Loamy,Kharif,3247,206,Drip,High,Medium,195,1.5,Wheat,20,2.26,Rain
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,cotton,Southern,Loamy,Monsoon,2769,195,Drip,Medium,High,162,1.4,Maize,17,2.47,Rain
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,cotton,Western,Black,Monsoon,1703,178,Flood,High,High,243,2.7,Wheat,18,1.72,Rain
121,36,24,23.66457347,81.69105088,7.352401887,99.36898373,cotton,Central,Loamy,Kharif,2810,192,Flood,Medium,Medium,218,2.4,Maize,15,2.55,Canal
101,58,18,25.66891439,81.38103349,6.652143699,78.59595817,cotton,Southern,Black,Kharif,2639,156,Flood,Medium,Medium,205,2.0,Maize,19,2.37,Canal
107,42,24,22.04612876,84.62978302,6.144631795,86.00758678,cotton,Western,Loamy,Monsoon,2412,177,Flood,Medium,High,165,1.6,Maize,18,2.35,Canal
100,41,22,22.4204752,84.55794703,7.318802162000001,93.46595573,cotton,Central,Sandy Loam,Monsoon,2248,190,Flood,Medium,High,227,2.4,Maize,16,2.66,Well
125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,cotton,Western,Loamy,Kharif,3097,172,Flood,Medium,Medium,176,1.3,Pulses,16,1.75,Rain
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton,Southern,Loamy,Monsoon,1637,206,Flood,Medium,Medium,151,2.9,Pulses,17,2.62,Canal
102,46,19,22.77076388,82.5993307,6.631005298,81.49543437,cotton,Southern,Black,Monsoon,2947,177,Flood,High,Medium,206,2.9,Pulses,15,1.93,Rain
131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton,Southern,Sandy Loam,Kharif,2915,210,Drip,High,Medium,169,2.6,Wheat,20,1.59,Well
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton,Western,Sandy Loam,Kharif,1857,165,Drip,Medium,Medium,215,1.6,Pulses,15,1.65,Rain
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,cotton,Central,Black,Monsoon,2718,168,Drip,High,High,182,1.6,Pulses,20,2.14,Canal
118,45,23,23.37044424,77.43198948,7.977651226,71.67870701,cotton,Southern,Black,Monsoon,3182,174,Flood,High,High,169,1.6,Maize,20,1.94,Canal
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton,Southern,Sandy Loam,Monsoon,3124,174,Flood,Medium,Medium,157,1.5,Wheat,18,2.01,Well
125,60,17,24.14386157,84.51591287,6.785723961,80.36146974,cotton,Central,Sandy Loam,Monsoon,2379,192,Flood,High,High,164,1.1,Pulses,15,1.76,Rain
113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton,Southern,Sandy Loam,Monsoon,2370,195,Flood,High,Medium,127,1.5,Wheat,19,2.55,Canal
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton,Southern,Sandy Loam,Kharif,3254,160,Flood,Medium,High,165,1.8,Maize,16,2.84,Rain
115,48,16,25.54359718,84.09229796,7.175934962,88.94245493,cotton,Southern,Loamy,Kharif,3300,167,Flood,High,Medium,241,1.4,Wheat,15,1.65,Well
113,38,25,22.00085141,79.47270984,7.388265887999999,90.42224164,cotton,Southern,Loamy,Monsoon,1880,210,Flood,High,Medium,182,2.0,Pulses,17,1.68,Canal
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,cotton,Western,Loamy,Monsoon,2246,194,Drip,High,Medium,182,2.1,Pulses,20,1.59,Canal
111,53,19,23.96436009,78.02763149,6.419536555,84.63148859,cotton,Western,Loamy,Kharif,1770,160,Flood,High,Medium,148,2.5,Maize,20,1.74,Rain
122,48,16,24.65425757,75.6350708,6.307585854,61.82980133,cotton,Western,Sandy Loam,Monsoon,1721,207,Flood,High,High,166,1.1,Maize,16,1.78,Canal
108,46,17,24.3017998,84.87668973,6.93221485,65.0247867,cotton,Southern,Loamy,Monsoon,2660,172,Flood,Medium,Medium,216,1.5,Maize,19,1.75,Rain
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton,Western,Loamy,Kharif,3394,181,Drip,Medium,Medium,171,1.4,Pulses,16,2.62,Well
103,42,17,24.29470232,84.61527627,6.527541661,81.05902285,cotton,Southern,Loamy,Monsoon,3044,172,Drip,Medium,High,238,2.5,Wheat,16,1.99,Rain
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,cotton,Central,Black,Kharif,2314,188,Flood,High,Medium,231,2.9,Wheat,18,2.53,Canal
127,37,18,24.87663664,76.30050373,7.041065585,91.9223468,cotton,Central,Loamy,Kharif,3416,165,Drip,High,Medium,172,2.6,Wheat,16,2.51,Canal
110,39,25,22.60612115,77.34264002,7.208795456,75.13617229,cotton,Southern,Sandy Loam,Kharif,3392,154,Flood,High,Medium,205,1.3,Maize,18,2.93,Canal
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,cotton,Southern,Loamy,Monsoon,2816,205,Flood,High,High,247,1.2,Pulses,18,1.74,Well
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton,Central,Loamy,Monsoon,2781,180,Drip,Medium,High,189,2.3,Wheat,15,2.46,Well
122,40,17,24.96440768,81.31677618,6.854558957,80.03995829,cotton,Central,Sandy Loam,Monsoon,1579,184,Drip,High,High,146,2.6,Pulses,15,1.89,Rain
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,cotton,Central,Loamy,Kharif,3050,192,Flood,Medium,High,195,1.4,Maize,18,2.48,Canal
140,40,17,22.72767171,77.07598065,6.006085786,77.55176318,cotton,Central,Loamy,Monsoon,3009,157,Drip,Medium,Medium,213,1.6,Pulses,20,2.79,Well
100,40,20,22.45145981,76.25674874,7.432043735,86.84998693,cotton,Western,Loamy,Monsoon,3374,168,Flood,Medium,High,161,2.6,Maize,16,2.14,Canal
123,50,16,23.04920461,75.53835214,6.498052108,70.65644296,cotton,Central,Black,Monsoon,3245,206,Drip,Medium,High,189,2.5,Maize,17,1.72,Rain
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton,Central,Black,Kharif,2176,181,Drip,High,High,209,1.1,Pulses,18,2.27,Well
118,50,19,22.95604064,82.33733678,6.360812227,66.48339303,cotton,Southern,Black,Monsoon,2342,163,Flood,Medium,Medium,135,2.6,Maize,19,2.45,Well
103,51,20,22.80213132,84.14668447,7.0466074339999984,91.6389565,cotton,Central,Sandy Loam,Kharif,2203,196,Drip,Medium,Medium,136,1.1,Pulses,18,2.86,Well
133,57,19,23.54234715,75.98203329,7.947011366,84.12536744,cotton,Western,Loamy,Kharif,1750,187,Drip,Medium,Medium,127,1.9,Maize,17,2.31,Well
129,47,20,24.41212325,80.80343786,6.281913857999999,98.60457373,cotton,Central,Sandy Loam,Kharif,2521,207,Drip,Medium,Medium,204,2.8,Maize,16,2.93,Rain
116,52,19,22.94276687,75.37170612,6.114525877,67.08022574,cotton,Western,Sandy Loam,Kharif,1604,165,Drip,High,Medium,205,2.3,Pulses,17,2.37,Rain
114,40,23,25.53676123,81.13668716,6.7539780610000015,95.4262599,cotton,Western,Loamy,Kharif,2212,181,Flood,High,High,156,1.1,Pulses,17,2.13,Canal
131,60,17,25.32023717,81.79475917,7.4250413160000015,83.46532547,cotton,Western,Black,Monsoon,2457,206,Drip,High,High,158,2.7,Pulses,16,1.76,Canal
107,43,18,22.426733,81.53480799,6.745104394,65.54475812,cotton,Central,Sandy Loam,Monsoon,1827,183,Drip,High,High,168,1.7,Wheat,19,1.99,Well
123,44,21,25.78544484,75.00539324,7.6411165689999985,91.39578861,cotton,Southern,Black,Monsoon,2321,154,Drip,High,Medium,132,1.8,Pulses,17,2.06,Well
112,49,25,25.68959532,77.90621048,6.470135478,66.19426787,cotton,Central,Loamy,Kharif,1537,200,Drip,High,Medium,135,2.8,Pulses,20,2.58,Rain
119,44,15,22.14593688,82.85975490000001,7.091992365,60.65381719,cotton,Western,Loamy,Monsoon,2069,180,Flood,Medium,Medium,208,2.4,Wheat,16,1.87,Well
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,cotton,Southern,Sandy Loam,Monsoon,1983,192,Flood,Medium,High,142,1.2,Wheat,18,2.66,Canal
127,53,24,22.21506982,76.17851932,6.127939627999999,70.40557612,cotton,Southern,Black,Monsoon,2432,187,Flood,High,Medium,230,1.7,Pulses,20,1.93,Canal
134,52,18,23.9643129,76.59175937,7.994679507000001,76.13090645,cotton,Central,Black,Kharif,2379,187,Drip,High,High,194,1.4,Maize,18,2.85,Well
109,36,18,25.40059227,76.53237965,7.524707577,62.51388670000001,cotton,Western,Sandy Loam,Monsoon,3166,167,Drip,High,High,212,1.5,Maize,17,1.63,Rain
100,48,17,23.7805123,83.03878838,7.827877817999999,66.26555904,cotton,Central,Loamy,Monsoon,2222,199,Flood,High,Medium,211,1.1,Maize,15,1.87,Canal
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,cotton,Central,Loamy,Kharif,1913,193,Flood,High,High,128,1.3,Maize,18,2.91,Canal
102,37,25,25.31468463,77.91757121,5.907930899,72.82902109,cotton,Western,Loamy,Kharif,3049,182,Drip,Medium,Medium,180,1.5,Maize,20,2.45,Well
111,39,22,22.60361557,80.35090459999998,6.135025006,88.57395505,cotton,Central,Loamy,Kharif,2167,182,Flood,Medium,High,205,2.6,Maize,15,2.42,Canal
117,51,15,22.9535715,78.71555832,6.044556594,99.75336197,cotton,Southern,Black,Kharif,1755,182,Flood,High,Medium,236,1.1,Wheat,18,1.82,Well
136,36,24,22.74446976,80.41198458,7.59781958,90.07326633,cotton,Western,Black,Kharif,3252,154,Flood,Medium,Medium,224,1.4,Pulses,20,2.94,Canal
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,cotton,Western,Loamy,Kharif,3368,209,Drip,High,High,235,2.5,Maize,17,1.99,Rain
112,54,15,25.46228792,81.56641891,6.1754923060000015,76.88582484,cotton,Central,Loamy,Monsoon,1791,184,Flood,Medium,Medium,223,1.7,Wheat,15,1.82,Rain
105,56,15,25.96779712,81.97904282,7.272316208999999,74.14169043,cotton,Southern,Black,Kharif,2679,167,Flood,Medium,Medium,185,2.8,Pulses,16,2.33,Well
140,45,15,25.5308271,80.04662756,5.801047545,99.39557151,cotton,Central,Black,Monsoon,2766,195,Drip,High,High,142,1.9,Wheat,18,2.47,Rain
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,cotton,Southern,Loamy,Monsoon,2660,152,Drip,Medium,High,171,2.9,Maize,16,2.78,Rain
106,49,24,23.03887865,76.47039772,6.983395572999999,90.64770699,cotton,Central,Sandy Loam,Monsoon,3407,171,Drip,Medium,High,152,2.8,Pulses,19,2.99,Canal
121,53,19,23.51308653,76.72621429,7.976889497999999,80.11272117,cotton,Western,Sandy Loam,Kharif,3402,204,Drip,Medium,High,236,2.0,Maize,16,1.97,Canal
108,60,17,22.75805656,76.75768356,6.558902588,97.76600619,cotton,Western,Loamy,Kharif,2470,172,Drip,Medium,Medium,145,2.3,Wheat,16,2.18,Rain
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,cotton,Southern,Loamy,Kharif,2989,167,Flood,Medium,Medium,120,2.5,Pulses,15,2.34,Well
100,52,19,23.45969093,82.44777468,7.903528672999999,93.50153555,cotton,Central,Loamy,Monsoon,3380,183,Flood,Medium,High,195,2.3,Wheat,19,2.08,Well
129,43,16,25.5503704,77.85055621,6.73210948,78.58488484,cotton,Western,Black,Kharif,1854,196,Drip,Medium,High,185,1.0,Maize,19,2.49,Canal
118,44,23,22.08458267,82.82904143,6.6916904760000016,67.06459777,cotton,Central,Sandy Loam,Monsoon,3495,177,Flood,Medium,High,241,2.9,Maize,16,2.49,Well
117,43,25,24.68854799,78.51206972,7.839849298,69.31153566,cotton,Central,Loamy,Kharif,1521,198,Flood,High,Medium,180,1.9,Wheat,17,2.5,Canal
126,37,21,25.84997269,84.16855231,6.61448588,77.03421249,cotton,Southern,Black,Kharif,1531,183,Flood,High,High,163,2.2,Maize,17,2.2,Rain
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,cotton,Western,Sandy Loam,Monsoon,3308,165,Flood,Medium,Medium,134,2.8,Pulses,19,2.76,Rain
102,45,16,23.65629976,77.52425987,7.2942193,74.8984994,cotton,Western,Loamy,Monsoon,3340,193,Drip,Medium,High,126,1.2,Wheat,20,1.75,Canal
131,56,20,22.00817088,81.83896111,7.762647875,92.23645249,cotton,Southern,Loamy,Kharif,3366,173,Drip,Medium,Medium,154,2.7,Wheat,19,2.15,Well
114,40,17,24.32630461,80.13456404,6.363406102000001,69.45072055,cotton,Central,Loamy,Monsoon,2382,166,Flood,High,Medium,187,2.8,Maize,19,1.7,Rain
101,37,18,22.92360984,82.68738535,7.63737841,92.91915074,cotton,Southern,Black,Kharif,2524,206,Flood,Medium,High,186,2.1,Pulses,16,2.67,Rain
106,46,20,23.43821725,78.63388824,6.2006719760000015,81.15072105,cotton,Western,Black,Kharif,1974,165,Drip,Medium,High,237,2.1,Wheat,18,2.24,Rain
113,38,20,22.10718988,78.58320116,6.364729934,74.94136567,cotton,Western,Black,Monsoon,2525,210,Drip,High,Medium,215,2.8,Wheat,16,1.79,Rain
102,53,21,23.03814028,76.11021529,6.913678684,91.49697481,cotton,Central,Loamy,Kharif,2109,160,Drip,Medium,High,239,1.1,Pulses,19,1.78,Rain
110,39,18,24.54795322,75.39752705,7.766259768999999,63.88079866,cotton,Western,Black,Monsoon,2984,153,Flood,High,Medium,165,1.2,Pulses,18,2.05,Rain
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,cotton,Southern,Black,Kharif,3086,161,Drip,Medium,High,170,2.7,Maize,20,2.85,Well
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton,Western,Loamy,Kharif,2823,168,Flood,High,Medium,209,2.4,Wheat,16,2.17,Rain
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,jute,Northern,Clay Loam,Monsoon,2504,120,Flood,Medium,Medium,84,2.0,Vegetables,7,0.89,River
60,37,39,26.59104992,82.94164078,6.033485257000001,161.2469997,jute,Northern,Loamy,Kharif,2127,108,Flood,Low,Medium,135,3.3,Rice,9,1.32,Canal
63,41,45,25.29781791,86.88705350000002,7.121933578999999,196.6249511,jute,Northern,Alluvial,Kharif,3044,113,Flood,Low,Medium,91,3.3,Vegetables,8,1.43,Canal
86,40,39,25.72100868,88.16513579,6.207459637,175.60866969999995,jute,Eastern,Clay Loam,Monsoon,2206,130,Flood,Medium,Medium,87,3.4,Vegetables,8,0.85,Rain
96,41,40,23.58419277,72.00460848,6.090060478,190.4242157,jute,Northern,Clay Loam,Monsoon,2237,104,Flood,Low,Medium,86,3.3,Vegetables,7,1.31,Rain
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,jute,Eastern,Loamy,Monsoon,2152,108,Flood,Low,Medium,135,3.5,Rice,9,1.26,Rain
63,37,43,23.41798979,85.08640476,6.661957897000001,185.7446728,jute,Northern,Clay Loam,Kharif,2846,119,Flood,Medium,Medium,125,2.5,Rice,10,1.52,Canal
70,43,40,24.35564134,88.80391021,6.176860192,169.11680280000004,jute,Northern,Alluvial,Kharif,2112,103,Flood,Low,Medium,108,2.6,Vegetables,7,1.44,River
67,55,44,26.284017,75.14640198,7.251847296,182.2685447,jute,Eastern,Alluvial,Kharif,3187,118,Flood,Medium,Medium,108,2.6,Vegetables,8,0.89,River
74,40,40,25.13842773,83.12053888,6.386259977999999,169.33884650000005,jute,Northern,Alluvial,Monsoon,2712,106,Flood,Low,Medium,148,1.8,Rice,8,1.26,Canal
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,jute,Eastern,Clay Loam,Kharif,2742,117,Flood,Low,Medium,119,2.0,Vegetables,10,1.01,River
74,46,45,25.75734909,88.36668522,6.025028997000001,189.4263485,jute,Northern,Loamy,Kharif,2399,118,Flood,Low,Medium,130,1.8,Vegetables,8,1.18,River
89,41,38,23.12844351,74.68322732,6.344751947000001,199.83629130000003,jute,Northern,Alluvial,Monsoon,2980,110,Flood,Medium,Medium,116,1.7,Vegetables,9,0.85,Rain
60,55,40,24.9949957,88.95692783,7.02777956,151.4935635,jute,Eastern,Alluvial,Monsoon,2860,108,Flood,Low,Medium,146,2.8,Pulses,7,1.25,Rain
67,43,38,25.21622704,70.88259632,7.299304715,195.8645552,jute,Northern,Loamy,Monsoon,2160,108,Flood,Low,Medium,124,3.4,Pulses,8,1.49,Canal
70,38,35,24.39736241,79.26861738,7.014063944,164.2697011,jute,Northern,Alluvial,Kharif,2697,106,Flood,Low,Medium,137,2.7,Vegetables,10,0.96,Canal
74,49,38,23.31410442,71.4509053,7.4880144039999985,164.49703730000004,jute,Eastern,Clay Loam,Kharif,2500,124,Flood,Medium,Medium,114,3.3,Rice,8,1.53,Canal
90,40,39,25.72668885,81.86171563,6.626503893,191.9649389,jute,Northern,Loamy,Monsoon,2334,111,Flood,Low,Medium,120,2.4,Pulses,8,1.25,River
82,35,44,26.96656378,78.21047693,6.239011,169.8391177,jute,Northern,Clay Loam,Monsoon,2665,123,Flood,Medium,Medium,80,2.0,Rice,8,1.06,Rain
73,45,37,23.70467146,74.63745355,6.742688094,181.2783964,jute,Eastern,Alluvial,Kharif,3143,104,Flood,Low,Medium,116,2.4,Pulses,10,1.53,Canal
85,53,38,24.90075709,73.84186449,6.588017308,153.8990984,jute,Eastern,Clay Loam,Monsoon,2860,120,Flood,Medium,Medium,91,3.0,Rice,8,1.19,Canal
81,56,36,23.39605743,72.60512854,7.097586415,174.78764109999997,jute,Eastern,Alluvial,Kharif,2088,115,Flood,Low,Medium,98,3.5,Vegetables,10,1.47,Canal
84,55,38,26.8748389,79.78725152,6.956682742999999,173.1017097,jute,Northern,Clay Loam,Kharif,2903,111,Flood,Medium,Medium,95,3.3,Rice,9,1.32,River
80,45,42,23.1426498,74.99739774,7.380396262,151.9035477,jute,Eastern,Alluvial,Kharif,2557,123,Flood,Low,Medium,110,2.4,Pulses,10,1.5,River
76,54,45,24.29496635,77.62976013,6.176618831,184.9800516,jute,Northern,Clay Loam,Monsoon,2853,104,Flood,Medium,Medium,107,2.5,Vegetables,9,1.58,Canal
76,56,39,24.39459498,89.89106506,6.551130445,197.1220049,jute,Eastern,Alluvial,Monsoon,2666,117,Flood,Medium,Medium,111,2.9,Rice,8,1.47,Canal
81,40,45,25.7629429,80.76238215,6.427726565,174.5071843,jute,Northern,Clay Loam,Monsoon,3149,103,Flood,Medium,Medium,93,3.1,Vegetables,10,0.84,Canal
76,44,45,25.4879684,84.48235878,6.740947635,168.7848886,jute,Eastern,Alluvial,Kharif,2825,115,Flood,Low,Medium,84,1.8,Pulses,10,1.17,River
69,47,40,25.37122686,76.2403666,6.130136384,183.8270791,jute,Northern,Clay Loam,Monsoon,3127,105,Flood,Medium,Medium,106,2.5,Vegetables,9,1.43,Rain
82,40,45,26.21312799,81.70476368,6.667633355,180.1237765,jute,Eastern,Clay Loam,Monsoon,2532,125,Flood,Low,Medium,110,2.7,Rice,9,1.57,Rain
69,57,35,24.30748599,78.54340987,6.1868143920000005,186.2337571,jute,Northern,Loamy,Monsoon,2667,115,Flood,Low,Medium,100,1.8,Rice,10,0.94,Canal
81,36,38,23.76554749,87.98329901,6.334837865,150.31661519999997,jute,Northern,Clay Loam,Monsoon,2252,105,Flood,Low,Medium,99,2.4,Vegetables,8,0.89,River
67,60,38,24.79853023,78.53037059,7.16214284,162.2847429,jute,Northern,Loamy,Kharif,2172,110,Flood,Medium,Medium,109,3.1,Vegetables,10,1.01,Canal
72,51,40,23.20683504,74.09956958,7.422318499,199.4766779,jute,Eastern,Loamy,Monsoon,2000,118,Flood,Medium,Medium,98,2.7,Vegetables,7,1.27,River
65,39,45,23.66805429,70.89000744,6.768001309,184.4633281,jute,Eastern,Clay Loam,Monsoon,2884,101,Flood,Medium,Medium,125,2.3,Rice,8,1.01,Canal
78,50,43,25.12417673,85.72530641,6.348441469,159.5718087,jute,Northern,Loamy,Monsoon,2209,105,Flood,Medium,Medium,88,3.4,Vegetables,10,1.52,River
77,52,41,23.89069041,83.46409075,6.097294061,167.72306319999996,jute,Northern,Loamy,Monsoon,3146,118,Flood,Low,Medium,94,3.2,Rice,8,1.13,Canal
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,jute,Northern,Loamy,Monsoon,3488,117,Flood,Low,Medium,92,1.8,Vegetables,8,1.54,Canal
62,49,37,24.21744605,82.85284045,7.479248124,166.13658859999995,jute,Eastern,Clay Loam,Kharif,2323,120,Flood,Low,Medium,115,2.5,Rice,9,1.47,Canal
90,48,45,24.06475727,71.31342851,6.509174788999999,153.63902119999997,jute,Northern,Clay Loam,Monsoon,2151,108,Flood,Medium,Medium,100,3.0,Pulses,10,0.9,Rain
66,47,36,24.85441411,74.44070479999998,6.57256106,175.572958,jute,Northern,Loamy,Kharif,2024,114,Flood,Medium,Medium,134,1.5,Pulses,9,1.19,River
80,52,39,26.41915161,76.85691248,7.165696848,197.2101782,jute,Northern,Loamy,Kharif,2477,100,Flood,Low,Medium,132,3.3,Pulses,7,1.47,Rain
89,52,45,24.89326318,77.01222585,7.207457207999999,196.469984,jute,Eastern,Alluvial,Monsoon,3441,119,Flood,Medium,Medium,130,2.9,Vegetables,8,1.11,Rain
77,51,44,23.25583402,82.7015932,7.124333547000001,166.2160846,jute,Eastern,Alluvial,Monsoon,2709,103,Flood,Medium,Medium,101,3.2,Pulses,8,1.18,Rain
94,37,41,24.7634518,87.06071115,6.4635387070000005,179.1630865,jute,Eastern,Clay Loam,Kharif,3197,118,Flood,Medium,Medium,92,1.5,Pulses,10,1.46,River
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,jute,Eastern,Clay Loam,Monsoon,2415,113,Flood,Medium,Medium,113,2.6,Vegetables,10,1.18,River
60,55,36,26.12797248,80.49172597,7.132389299,150.6326874,jute,Northern,Loamy,Kharif,3395,107,Flood,Low,Medium,117,2.4,Rice,7,1.29,River
62,56,35,25.97825807,81.65769588,6.235357637999999,163.3488091,jute,Eastern,Alluvial,Kharif,2413,124,Flood,Medium,Medium,93,2.7,Rice,8,1.52,Canal
84,40,42,26.2830571,73.35763537,6.704273839,186.6898282,jute,Eastern,Alluvial,Kharif,2096,101,Flood,Low,Medium,139,3.3,Rice,9,0.91,Canal
100,56,40,26.38905406,83.31240346,7.433313409,176.1516409,jute,Eastern,Loamy,Monsoon,2252,112,Flood,Low,Medium,87,2.0,Rice,9,1.28,River
75,56,44,25.2746335,73.7459581,6.109478059,168.0432282,jute,Eastern,Loamy,Kharif,3308,109,Flood,Low,Medium,100,2.1,Pulses,9,1.16,River
78,46,42,23.09499564,78.45959697,7.095413294,155.3851533,jute,Eastern,Loamy,Monsoon,2445,129,Flood,Low,Medium,97,2.5,Vegetables,10,1.4,Rain
82,48,36,25.79351957,81.76904006,6.352076782999999,193.2418382,jute,Northern,Loamy,Kharif,3319,102,Flood,Medium,Medium,115,2.4,Vegetables,9,1.19,Rain
100,58,41,23.17403323,87.88255345,6.6587699910000016,160.6217342,jute,Northern,Alluvial,Kharif,3031,130,Flood,Medium,Medium,94,1.9,Rice,10,1.45,River
88,50,40,25.63215038,79.95150917,7.0518224720000005,182.2582277,jute,Eastern,Alluvial,Monsoon,2566,122,Flood,Medium,Medium,128,2.8,Pulses,8,1.39,River
67,41,40,25.84879500000001,87.81661683,7.333143205,152.6194403,jute,Eastern,Clay Loam,Kharif,2295,124,Flood,Low,Medium,137,2.9,Rice,7,1.3,Rain
72,42,43,26.56767277,80.90424543,6.352771037,181.2915605,jute,Eastern,Alluvial,Monsoon,2706,115,Flood,Low,Medium,95,1.8,Vegetables,7,1.25,Canal
89,40,43,26.24532085,72.97198375,7.124050134,189.9711184,jute,Eastern,Loamy,Kharif,2208,112,Flood,Low,Medium,149,1.7,Vegetables,9,1.05,Canal
89,57,43,26.91515043,73.19897535,6.998787171,177.22330480000005,jute,Eastern,Loamy,Monsoon,3331,125,Flood,Low,Medium,95,3.2,Pulses,9,1.31,Rain
61,41,44,24.36972377,82.11319791,6.537914957999999,159.92109340000005,jute,Northern,Alluvial,Monsoon,3312,106,Flood,Medium,Medium,82,2.3,Rice,8,0.87,River
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,jute,Eastern,Loamy,Kharif,2840,123,Flood,Medium,Medium,149,2.5,Rice,9,1.52,Canal
84,40,43,25.01157559,88.33130229999998,7.228268227999999,169.4168014,jute,Eastern,Loamy,Monsoon,3196,104,Flood,Low,Medium,85,1.5,Pulses,9,1.43,River
98,43,35,25.40785911,76.44048625,7.319952206,188.6372826,jute,Eastern,Clay Loam,Kharif,2762,106,Flood,Medium,Medium,113,2.3,Vegetables,10,1.37,River
75,36,44,23.28081,74.27607475,6.613341342999999,153.7447398,jute,Northern,Clay Loam,Monsoon,3273,105,Flood,Low,Medium,104,3.2,Vegetables,10,1.5,Rain
89,58,35,23.98651719,82.09053379,6.096838784,167.0576456,jute,Eastern,Loamy,Kharif,2380,101,Flood,Medium,Medium,94,2.1,Pulses,8,1.18,Rain
